OrderID,CustomerID,OrderDate,Status,TotalAmount,SKU,quantity
O20250001,CUST0001,2025-04-01,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250002,CUST0002,2025-04-01,Open,12.25,PURE-ROSEMARY-10ML,1
O20250003,CUST0003,2025-04-01,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250004,CUST0004,2025-04-01,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250001,CUST0005,2025-04-01,Open,21.98,PURE-CEDARWOOD-10ML,2
O20250002,CUST0006,2025-04-01,Open,12.25,PURE-ROSEMARY-10ML,1
O20250003,CUST0007,2025-04-01,Open,32.97,PURE-CEDARWOOD-10ML,3
O20250004,CUST0008,2025-04-01,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250005,CUST0009,2025-04-02,Open,44.97,PURE-LAVENDER-15ML,3
O20250006,CUST0010,2025-04-03,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250007,CUST0011,2025-04-03,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250008,CUST0012,2025-04-03,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250009,CUST0013,2025-04-04,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250010,CUST0014,2025-04-05,Open,38.97,PURE-LEMONGRASS-10ML,3
O20250011,CUST0015,2025-04-05,Open,25.98,PURE-LEMONGRASS-10ML,2
O20250012,CUST0016,2025-04-06,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250013,CUST0017,2025-04-06,Open,13.75,PURE-PEPPERMINT-15ML,1
O20250014,CUST0018,2025-04-07,Open,36.75,PURE-ROSEMARY-10ML,3
O20250015,CUST0019,2025-04-08,Open,27.5,PURE-PEPPERMINT-15ML,2
O20250016,CUST0020,2025-04-08,Open,44.97,PURE-LAVENDER-15ML,3
O20250017,CUST0021,2025-04-08,Open,36.75,PURE-ROSEMARY-10ML,3
O20250018,CUST0022,2025-04-09,Open,11.49,PURE-EUCALYPTUS-10ML,1
O20250019,CUST0023,2025-04-10,Open,36.75,PURE-ROSEMARY-10ML,3
O20250020,CUST0024,2025-04-10,Open,36.75,PURE-ROSEMARY-10ML,3
O20250021,CUST0025,2025-04-10,Open,12.99,PURE-LEMONGRASS-10ML,1
O20250022,CUST0026,2025-04-11,Open,41.25,PURE-PEPPERMINT-15ML,3
O20250023,CUST0027,2025-04-11,Open,34.47,PURE-EUCALYPTUS-10ML,3
O20250024,CUST0028,2025-04-11,Open,21.98,PURE-CEDARWOOD-10ML,2
