filename,processed
0_etsy_input\orders_2025-04-01.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-02.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-03.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-04.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-05.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-06.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-07.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-08.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-09.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-10.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-11.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-12.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-13.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-14.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-15.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-16.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-17.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-18.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-19.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-20.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-21.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-22.csv,04/24/2025 12:41:19
0_etsy_input\orders_2025-04-23.csv,04/24/2025 12:41:19
