ID,Man/Auto,Fund,Anum,Value Dt,Month,Trans Id,Entry Id,Aname,FS LEVEL,Currency Code,Cur Amount,Fx Rate,Amount
57085,M,Fund 8,22001,42766,1,90129,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-2205.05
57086,M,Fund 6,22001,42766,1,1070844,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-10149.64
57087,M,Fund 6,22001,42766,1,1070846,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,0.42
57088,M,Fund 11,22001,42794,2,5572,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,483153.49
57089,M,Fund 15,22001,42765,1,3739455,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,392518.19
57090,M,Fund 5,22001,42766,1,479520,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-231525.62
57091,M,Fund 11,22001,42766,1,5284,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-241576.63
57092,M,Fund 7,22001,42766,1,3009187,1,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-450281.78
57093,M,Fund 4,22001,42794,2,1972197,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-128646.7
57094,M,Fund 6,22001,42794,2,1076673,5,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,10149.22
57095,M,Fund 15,22001,42766,1,3741601,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-131463.62
57096,M,Fund 10,22001,42886,5,4270464,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,497746.44
57097,M,Fund 2,22001,42855,4,5416665,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-160072.76
57098,M,Fund 15,22001,42858,5,3803424,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,386014.26
57099,M,Fund 4,22001,42865,5,1995305,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,385940
57100,M,Fund 6,22001,42886,5,1113241,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-19255.3
57101,M,Fund 11,22001,42825,3,5707,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-241576.63
57102,M,Fund 11,22001,42855,4,5984,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-247615.89
57103,M,Fund 17,22001,42887,6,10656,1,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-21730.23
57104,M,Fund 17,22001,42872,5,5068,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,115872
57105,M,Fund 17,22001,42886,5,7315,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-28643.26
57106,M,Fund 10,22001,42856,5,4270245,1,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,251831.43
57107,M,Fund 10,22001,42855,4,4146418,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,5916.42
57108,M,Fund 15,22001,42825,3,3790361,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-126952.65
57109,M,Fund 5,22001,42825,3,582491,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,-605.17
57110,M,Fund 11,22001,42886,5,6107,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,495231.67
57111,M,Fund 11,22001,42825,3,5721,2,Mgmt Fees Pay,Accrued expense and other liabilities,USD,0,1,241576.51
